YEAR,MO,DY,CLRSKY_SFC_SW_DWN,ALLSKY_KT,ALLSKY_SFC_LW_DWN,ALLSKY_SFC_PAR_TOT,CLRSKY_SFC_PAR_TOT,ALLSKY_SFC_UVA,ALLSKY_SFC_UVB,ALLSKY_SFC_SW_DWN,T2M,QV2M,PRECTOTCORR,WD10M
2019,4,4,6.88,0.63,322.16,111.22,125.58,14.29,0.28,6.08,16.12,7.75,0.28,218.25
2019,4,5,6.59,0.58,332.43,100.9,117.42,12.7,0.23,5.6,15.7,8.18,0.42,293.62
2019,4,6,6.56,0.4,342.42,71.74,118.73,9.35,0.2,3.84,16.98,7.63,0.07,143.44
2019,4,7,6.73,0.66,328.45,116.65,122.56,14.56,0.3,6.41,20.4,8.12,0.01,175.38
2019,4,8,7,0.7,325.09,127.22,129.3,16.11,0.37,6.91,19.37,8.61,0.04,215.19
2019,4,9,7.25,0.73,310.93,131.74,132.07,16.76,0.37,7.25,18.12,8.36,0.26,212.06
2019,4,10,7.49,0.7,307.24,124.42,135.78,16.12,0.38,6.87,15.55,7.51,0.01,268.12
2019,4,11,7.55,0.72,295.76,128.74,136.1,16.55,0.38,7.16,14.93,6.9,0.29,213.5
2019,4,12,7.54,0.75,297.27,133.42,134.84,16.88,0.38,7.49,16.55,7.08,0,138.31
2019,4,13,7.49,0.74,315.82,133.38,134.55,16.98,0.38,7.44,21.06,6.47,0,114.69
2019,4,14,6.78,0.47,344.22,85.66,122.15,10.73,0.27,4.68,17.98,8.3,0,213.56
2019,4,15,6.82,0.32,337.2,61.26,125.16,7.94,0.2,3.21,16.5,8,1.77,216.69
2019,4,16,6.81,0.48,342.77,89.15,123.93,11.31,0.26,4.83,16.04,8.18,1.1,212.5
2019,4,17,7.37,0.55,333.05,102.61,133.97,13.45,0.34,5.6,14.92,7.93,0.2,254
2019,4,18,7.24,0.58,322,106.95,129.2,13.86,0.33,5.94,14.94,7.08,0.03,259.5
2019,4,19,7.27,0.52,329.41,97.66,129.9,12.68,0.3,5.38,13.51,6.96,5.05,248.5
2019,4,20,7.46,0.54,330.41,100.23,133.65,13.06,0.28,5.52,13.7,7.14,1.92,243.5
2019,4,21,7.54,0.45,322.37,85.26,134.67,11.28,0.23,4.68,11.84,6.35,7.84,268.19
2019,4,22,7.78,0.48,323.54,90.1,140.33,12.03,0.23,4.99,12.4,6.23,0.83,267.69
2019,4,23,7.87,0.73,298.73,137.26,142.69,17.55,0.39,7.58,15.1,6.59,0,219.12
2019,4,24,7.4,0.68,314.24,129.88,134.48,16.28,0.37,7.13,17.31,6.84,0,147.12
2019,4,25,7.43,0.68,322.82,130.09,134.95,16.38,0.38,7.14,19.03,6.71,0,146.56
2019,4,26,7.62,0.7,326.68,135.08,138.56,17.15,0.38,7.42,20.55,7.45,0,109.81
2019,4,27,7.27,0.54,346.84,104,131.56,13.19,0.27,5.69,20.9,6.9,0,177.81
2019,4,28,7.81,0.73,317.18,141.15,141.59,17.92,0.42,7.78,20.88,7.63,0,195.88
2019,4,29,7.62,0.7,335.61,133.35,137.27,16.84,0.38,7.38,23.51,8,0,195
2019,4,30,7.32,0.61,342.8,117.9,132.38,14.73,0.38,6.48,23.05,8.3,0,193.88
2019,5,1,7.41,0.66,350.31,130.62,135.98,16.42,0.41,7.09,25.14,8,0,138.31
2019,5,2,7.24,0.39,379.59,79.34,132.51,10.2,0.27,4.2,23.67,8.91,0.01,206
2019,5,3,7.89,0.67,326.37,134.34,145.5,17.2,0.43,7.23,20.77,8.3,0.01,271.31
2019,5,4,8.18,0.74,311.38,145.8,148.41,18.72,0.45,8.01,19.33,8.36,0,245.94
2019,5,5,8.06,0.73,321.51,141.65,145.02,18.09,0.44,7.83,23.14,7.08,0,129.31
2019,5,6,7.55,0.48,374.23,97.43,138.48,12.55,0.32,5.18,25.8,7.14,0,187.88
2019,5,7,7.86,0.59,346.75,119.17,142.73,15.48,0.39,6.51,19.3,9.09,0,269.5
2019,5,8,8.29,0.65,324.76,128.94,150.77,16.94,0.43,7.06,17.96,7.93,0,287.75
